#this format is:
#index t X V
111 1.1 5.93679857835 -4.52014216476
112 1.11 5.89384404242 -4.31559575768
113 1.12 5.85284499631 -4.11550036896
114 1.13 5.81368846357 -3.93115364283
115 1.14 5.77655723377 -3.74427662349
116 1.15 5.74146708353 -3.55329164673
117 1.16 5.70692976861 -3.40702313903
118 1.17 5.67448125808 -3.251874192
119 1.18 5.64312288535 -3.08771146509
120 1.19 5.6138133535 -2.91866465045
121 1.2 5.58612243277 -2.78775672255
122 1.21 5.5592372261 -2.67627738954
123 1.22 5.53363883683 -2.53611631714
124 1.23 5.50991630372 -2.40836962758
125 1.24 5.48700396807 -2.29960319274
126 1.25 5.46535854225 -2.16414577505
127 1.26 5.44458230068 -2.04176993226
128 1.27 5.42553606377 -1.9463936232
129 1.28 5.4075874175 -1.84125824968
130 1.29 5.39065969955 -1.73403004452
131 1.3 5.37467942481 -1.63205751921
132 1.31 5.35977341088 -1.5226589122
133 1.32 5.34564598063 -1.435401937
134 1.33 5.33230320876 -1.36967912444
135 1.34 5.31917548028 -1.28245197201
136 1.35 5.30679543711 -1.22045628854
137 1.36 5.29551913626 -1.14808637442
138 1.37 5.28535840974 -1.064159026
139 1.38 5.27528085845 -0.97191415507
140 1.39 5.26603512436 -0.896487564215
141 1.4 5.25768584881 -0.831415118528
142 1.41 5.25026999026 -0.773000973653
143 1.42 5.24303171279 -0.696828720917
144 1.43 5.23630284563 -0.669715437462
145 1.44 5.22981523288 -0.618476711944
146 1.45 5.2244671893 -0.553281069539
147 1.46 5.21888211758 -0.511788242077
148 1.47 5.21453743255 -0.44625674508
149 1.48 5.21095421182 -0.404578818338
150 1.49 5.20753044996 -0.346955004436
151 1.5 5.20472837437 -0.327162562903
152 1.51 5.20221427662 -0.278572337779
153 1.52 5.19978552845 -0.22144715543
154 1.53 5.19840660695 -0.159339305395
155 1.54 5.19677044967 -0.122955033176
156 1.55 5.19609059938 -0.0909400618555
157 1.56 5.19555598192 -0.0444018076105
158 1.57 5.19599854575 -0.00014542473977
159 1.58 5.1962299509 0.0229950904559
160 1.59 5.19647864236 0.0478642358983
161 1.6 5.19706017263 0.106017262669
162 1.61 5.1983673411 0.136734110205
163 1.62 5.19991127402 0.191127402499
164 1.63 5.20225105068 0.225105067772
165 1.64 5.20433093346 0.233093345584
166 1.65 5.20679961942 0.279961941681
167 1.66 5.21009871715 0.309871714617
168 1.67 5.21356430562 0.356430562207
169 1.68 5.21788020199 0.388020198988
170 1.69 5.22235154993 0.435154993296
171 1.7 5.22679689483 0.479689482778
172 1.71 5.23224342614 0.524342614205
173 1.72 5.23793086053 0.593086052638
174 1.73 5.24429976535 0.629976534712
